age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
31,admin.,single,university.degree,no,no,no,cellular,sep,fri,123,3,999,0,nonexistent,-3.4,92.379,-29.8,0.803,5017.5,0
53,entrepreneur,divorced,university.degree,no,yes,no,cellular,nov,mon,107,1,999,1,failure,-0.1,93.2,-42,4.191,5195.8,0
50,retired,married,basic.4y,unknown,yes,no,telephone,may,thu,855,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
37,unemployed,married,university.degree,no,unknown,unknown,cellular,may,fri,34,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
43,blue-collar,married,unknown,unknown,no,no,telephone,may,fri,512,6,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
45,admin.,married,basic.9y,unknown,no,no,telephone,jun,fri,973,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1
29,admin.,divorced,university.degree,no,yes,no,cellular,jun,wed,238,3,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1
53,services,married,high.school,no,no,no,telephone,may,wed,429,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
34,technician,married,university.degree,no,no,no,cellular,apr,thu,82,6,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0
72,retired,married,high.school,no,no,no,cellular,nov,mon,257,1,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,1
25,admin.,single,university.degree,no,yes,no,cellular,apr,thu,229,2,999,0,nonexistent,-1.8,93.075,-47.1,1.406,5099.1,1
46,admin.,married,high.school,no,no,no,telephone,jun,fri,47,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
39,admin.,single,high.school,no,no,no,cellular,jul,thu,9,6,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
57,management,married,university.degree,no,yes,yes,cellular,nov,fri,283,1,999,1,failure,-0.1,93.2,-42,4.021,5195.8,0
24,admin.,single,professional.course,no,yes,yes,telephone,jun,mon,233,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
40,blue-collar,married,basic.6y,no,yes,no,telephone,jun,tue,5,1,999,0,nonexistent,-1.7,94.055,-39.8,0.702,4991.6,0
45,services,married,high.school,unknown,yes,no,telephone,may,wed,349,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
33,entrepreneur,married,university.degree,no,yes,no,telephone,may,mon,130,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
34,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,157,29,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
24,admin.,single,high.school,no,no,no,cellular,jul,mon,452,1,14,1,success,-1.7,94.215,-40.3,0.827,4991.6,1
55,entrepreneur,divorced,basic.9y,no,no,no,cellular,dec,fri,415,7,999,0,nonexistent,-3,92.713,-33,0.71,5023.5,1
54,blue-collar,married,basic.6y,unknown,yes,no,telephone,jul,tue,34,1,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,0
32,technician,single,university.degree,no,no,no,cellular,aug,fri,182,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
27,student,single,high.school,no,no,no,cellular,mar,fri,219,1,999,0,nonexistent,-1.8,93.369,-34.8,0.653,5008.7,1
45,management,married,university.degree,no,yes,yes,cellular,may,thu,265,3,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
47,services,divorced,basic.9y,unknown,no,no,cellular,jul,mon,678,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
29,services,married,high.school,no,no,no,telephone,may,tue,189,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
42,admin.,single,university.degree,unknown,yes,yes,cellular,jul,fri,115,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
28,student,single,high.school,no,no,no,cellular,apr,thu,319,3,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0
27,self-employed,single,university.degree,no,no,no,cellular,may,thu,367,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
45,admin.,divorced,university.degree,no,yes,no,cellular,may,mon,197,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0
45,entrepreneur,married,basic.4y,no,yes,no,cellular,nov,tue,167,5,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
33,management,single,university.degree,no,no,no,telephone,may,tue,125,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
36,technician,married,professional.course,no,no,no,cellular,jul,tue,71,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
34,technician,single,high.school,no,yes,no,telephone,jul,fri,106,2,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,0
30,technician,single,university.degree,no,no,no,cellular,aug,fri,360,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
33,blue-collar,married,basic.4y,no,yes,no,cellular,jul,wed,273,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
56,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,wed,36,4,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
58,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,fri,326,1,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,0
52,admin.,married,high.school,no,no,no,cellular,nov,fri,157,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
52,housemaid,married,basic.4y,no,no,no,cellular,jul,fri,479,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
36,admin.,divorced,university.degree,unknown,yes,yes,cellular,jul,wed,103,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
36,admin.,single,university.degree,no,yes,yes,cellular,nov,wed,118,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
53,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,mon,144,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0
52,housemaid,married,basic.4y,unknown,yes,no,cellular,aug,mon,197,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
47,technician,married,professional.course,no,yes,no,telephone,may,thu,69,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
37,self-employed,divorced,university.degree,no,yes,no,telephone,may,mon,596,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
25,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,thu,113,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
32,blue-collar,married,basic.6y,no,no,no,cellular,jul,tue,59,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
34,admin.,single,university.degree,no,no,no,cellular,may,fri,101,4,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,0
39,admin.,married,high.school,no,yes,no,telephone,jun,thu,337,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
52,technician,married,professional.course,no,yes,yes,telephone,nov,tue,285,2,999,1,failure,-0.1,93.2,-42,4.153,5195.8,0
48,admin.,single,university.degree,no,yes,no,telephone,jun,thu,1082,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
48,entrepreneur,married,basic.9y,no,yes,no,cellular,jul,wed,44,7,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
50,blue-collar,single,basic.9y,unknown,no,no,telephone,may,fri,165,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
55,management,single,basic.4y,no,yes,no,telephone,jun,wed,89,4,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
38,blue-collar,married,basic.9y,no,yes,no,cellular,nov,tue,154,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
46,admin.,married,high.school,no,yes,no,cellular,aug,thu,91,11,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
31,services,single,high.school,no,yes,no,cellular,may,mon,206,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
27,technician,married,professional.course,no,no,no,cellular,jul,thu,102,9,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
50,blue-collar,married,basic.4y,no,no,no,cellular,may,tue,166,2,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,0
52,services,divorced,unknown,unknown,yes,yes,telephone,may,fri,306,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
44,admin.,married,university.degree,unknown,yes,yes,telephone,may,mon,398,7,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
35,technician,single,professional.course,no,yes,no,cellular,jul,tue,577,6,6,1,success,-1.7,94.215,-40.3,0.835,4991.6,1
47,management,divorced,basic.6y,unknown,yes,yes,telephone,may,fri,353,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
32,admin.,single,university.degree,no,no,no,cellular,jul,thu,152,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
34,services,married,basic.9y,no,yes,yes,telephone,may,mon,437,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0
40,admin.,single,high.school,no,no,yes,cellular,may,wed,172,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
56,services,married,basic.4y,unknown,yes,yes,telephone,may,fri,166,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
48,admin.,married,university.degree,no,yes,no,cellular,aug,thu,321,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
42,admin.,married,basic.9y,unknown,yes,no,cellular,jul,mon,163,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
48,admin.,divorced,high.school,no,yes,no,cellular,nov,mon,309,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
39,entrepreneur,married,high.school,no,yes,no,cellular,jul,thu,244,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
46,blue-collar,married,basic.9y,no,yes,no,cellular,nov,mon,132,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
41,technician,married,basic.9y,no,yes,no,telephone,may,tue,420,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
56,management,divorced,university.degree,no,no,no,telephone,jun,mon,252,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
25,admin.,married,university.degree,no,no,no,cellular,mar,fri,243,3,999,0,nonexistent,-1.8,92.843,-50,1.531,5099.1,1
24,blue-collar,single,high.school,no,no,no,cellular,jul,fri,482,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
24,services,single,high.school,no,yes,no,telephone,jun,mon,920,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
39,technician,single,high.school,no,no,no,cellular,aug,mon,177,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
42,management,married,basic.6y,no,yes,yes,cellular,nov,fri,81,6,999,1,failure,-0.1,93.2,-42,4.021,5195.8,0
35,technician,single,university.degree,no,no,yes,cellular,aug,wed,174,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
57,retired,single,high.school,no,no,no,telephone,may,mon,53,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
29,services,married,unknown,no,yes,yes,cellular,jul,wed,268,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
35,admin.,single,university.degree,no,yes,no,cellular,aug,fri,176,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
37,blue-collar,married,basic.6y,no,yes,no,cellular,apr,mon,724,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
42,technician,single,high.school,no,yes,no,telephone,jun,wed,457,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
36,services,married,high.school,unknown,no,no,cellular,may,fri,89,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
41,blue-collar,single,basic.6y,unknown,no,no,cellular,jul,wed,92,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
47,blue-collar,married,basic.9y,no,yes,no,cellular,aug,mon,110,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
47,blue-collar,married,basic.4y,no,yes,no,cellular,aug,mon,729,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
44,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,mon,144,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0
29,services,married,high.school,no,yes,no,telephone,may,mon,87,6,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,0
58,management,married,university.degree,no,yes,yes,cellular,may,fri,256,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
36,blue-collar,married,basic.4y,no,yes,no,cellular,nov,mon,279,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
30,admin.,single,university.degree,unknown,yes,no,telephone,jul,mon,256,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
46,admin.,single,university.degree,no,unknown,unknown,telephone,may,wed,74,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
30,management,married,university.degree,no,unknown,unknown,cellular,jul,wed,173,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
30,admin.,divorced,high.school,no,no,no,telephone,jun,fri,13,10,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
40,admin.,divorced,university.degree,no,yes,no,telephone,may,tue,380,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
27,blue-collar,single,basic.6y,no,yes,yes,telephone,jun,wed,444,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
50,management,single,university.degree,no,no,no,cellular,jul,thu,192,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
45,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,fri,636,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
52,housemaid,married,basic.4y,unknown,no,no,cellular,aug,mon,149,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
35,blue-collar,married,high.school,no,yes,yes,telephone,may,mon,83,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
41,blue-collar,married,basic.9y,unknown,no,yes,cellular,apr,fri,251,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
41,admin.,married,university.degree,unknown,yes,no,cellular,aug,thu,15,9,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
45,admin.,married,university.degree,no,no,no,cellular,jul,wed,194,1,13,1,success,-2.9,92.469,-33.6,1.029,5076.2,0
30,services,single,high.school,unknown,yes,no,cellular,may,wed,70,3,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
62,retired,divorced,university.degree,no,yes,no,telephone,oct,wed,129,3,999,0,nonexistent,-3.4,92.431,-26.9,0.735,5017.5,0
34,blue-collar,single,high.school,no,no,no,cellular,jul,wed,118,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
27,blue-collar,single,basic.6y,no,no,no,telephone,may,mon,350,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
33,blue-collar,married,basic.9y,no,yes,no,cellular,jul,thu,21,14,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
30,blue-collar,married,basic.9y,no,yes,no,cellular,nov,fri,225,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
75,retired,divorced,basic.9y,no,no,no,cellular,mar,mon,233,1,999,0,nonexistent,-1.8,92.843,-50,1.56,5099.1,0
31,entrepreneur,married,high.school,no,yes,yes,cellular,nov,wed,112,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
34,admin.,single,university.degree,no,no,no,telephone,jul,tue,232,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
29,unemployed,divorced,high.school,no,no,no,cellular,oct,mon,181,2,999,0,nonexistent,-3.4,92.431,-26.9,0.743,5017.5,0
46,unemployed,married,basic.9y,no,unknown,unknown,cellular,jun,tue,96,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,0
31,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,122,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0
27,technician,single,university.degree,no,yes,no,cellular,jul,mon,258,3,999,0,nonexistent,-2.9,92.469,-33.6,0.944,5076.2,0
32,admin.,single,professional.course,no,no,no,telephone,may,mon,131,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
45,admin.,single,university.degree,no,no,no,cellular,may,fri,582,1,3,1,success,-1.8,92.893,-46.2,1.259,5099.1,1
31,admin.,single,high.school,no,yes,no,cellular,nov,fri,59,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
25,technician,single,professional.course,no,no,no,telephone,may,thu,22,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
33,blue-collar,single,basic.4y,no,yes,no,cellular,apr,mon,108,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
30,services,single,high.school,no,yes,no,cellular,jul,thu,70,6,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
29,unemployed,single,basic.4y,no,yes,no,cellular,nov,fri,112,1,9,1,success,-1.1,94.767,-50.8,1.028,4963.6,0
26,technician,single,high.school,no,yes,no,telephone,may,mon,252,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
32,admin.,single,high.school,no,yes,no,cellular,may,thu,212,6,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
29,technician,single,high.school,no,yes,no,cellular,aug,mon,87,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
56,retired,married,basic.4y,no,no,no,telephone,jun,tue,394,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
52,management,divorced,university.degree,no,no,yes,telephone,may,tue,116,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
34,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,mon,61,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
45,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,135,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
57,technician,married,high.school,no,yes,no,cellular,may,mon,758,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0
30,admin.,married,university.degree,no,yes,no,cellular,aug,thu,123,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
28,services,divorced,high.school,no,yes,no,telephone,may,wed,225,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
26,technician,married,professional.course,no,yes,no,telephone,jun,mon,181,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
33,management,married,university.degree,no,no,no,cellular,nov,thu,133,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
24,services,single,professional.course,no,yes,no,cellular,jul,wed,349,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
33,services,married,high.school,unknown,no,no,telephone,may,wed,227,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
33,management,married,university.degree,no,no,yes,telephone,may,thu,206,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
59,admin.,married,basic.4y,unknown,yes,no,cellular,jul,thu,137,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
60,admin.,single,high.school,no,no,no,telephone,jun,fri,118,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
25,student,single,high.school,no,yes,no,cellular,may,thu,959,3,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,1
43,unemployed,single,university.degree,no,no,no,telephone,may,mon,404,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
58,management,married,basic.4y,unknown,no,no,telephone,jun,fri,301,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
47,technician,married,professional.course,no,no,no,cellular,aug,tue,364,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
39,technician,single,professional.course,no,no,no,telephone,may,tue,15,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
59,retired,married,basic.6y,unknown,no,no,telephone,jun,wed,235,5,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
33,admin.,married,high.school,no,no,no,telephone,may,fri,283,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
29,technician,married,high.school,no,no,no,cellular,jun,fri,157,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,1
47,blue-collar,married,basic.4y,no,yes,no,telephone,may,fri,352,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
24,admin.,married,professional.course,no,yes,no,cellular,apr,mon,102,6,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
37,technician,married,professional.course,no,no,no,cellular,apr,fri,181,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
36,admin.,divorced,high.school,no,yes,no,telephone,may,wed,416,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
26,admin.,married,basic.9y,no,no,no,cellular,jul,tue,878,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,1
59,entrepreneur,married,high.school,no,no,no,telephone,may,wed,145,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
21,student,single,high.school,no,yes,no,cellular,apr,fri,551,1,999,0,nonexistent,-1.8,93.749,-34.6,0.663,5008.7,1
32,entrepreneur,married,high.school,no,yes,no,cellular,jul,mon,240,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
37,admin.,married,high.school,no,no,yes,cellular,apr,fri,463,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
47,technician,married,professional.course,no,no,no,cellular,jul,thu,223,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
31,blue-collar,single,basic.4y,no,yes,no,cellular,jul,thu,143,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
38,management,married,basic.9y,no,yes,no,cellular,nov,tue,390,3,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
38,unemployed,single,high.school,no,yes,no,telephone,may,tue,597,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
29,admin.,single,university.degree,no,no,no,cellular,oct,mon,87,2,999,1,failure,-3.4,92.431,-26.9,0.731,5017.5,0
47,technician,married,professional.course,no,unknown,unknown,telephone,may,mon,89,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
26,admin.,single,high.school,no,no,no,telephone,may,wed,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
41,admin.,divorced,high.school,no,no,no,cellular,apr,fri,620,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
35,technician,single,university.degree,no,yes,yes,cellular,aug,thu,205,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
42,entrepreneur,married,basic.6y,no,no,no,telephone,may,tue,179,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
36,technician,single,professional.course,no,no,no,cellular,aug,mon,209,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
39,housemaid,married,basic.4y,no,no,no,cellular,jul,wed,102,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
49,technician,married,university.degree,no,no,no,cellular,may,thu,188,1,999,1,failure,-1.8,93.876,-40,0.699,5008.7,0
38,blue-collar,married,basic.6y,unknown,unknown,unknown,telephone,may,thu,204,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
37,blue-collar,divorced,basic.9y,unknown,yes,no,cellular,apr,thu,435,2,999,1,failure,-1.8,93.075,-47.1,1.435,5099.1,0
36,management,married,university.degree,no,yes,yes,cellular,mar,thu,94,1,999,0,nonexistent,-1.8,92.843,-50,1.538,5099.1,0
35,management,single,university.degree,no,no,no,cellular,may,fri,296,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
47,admin.,married,university.degree,no,yes,no,cellular,aug,tue,653,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
33,blue-collar,married,basic.9y,no,no,yes,telephone,jun,tue,16,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
56,management,divorced,high.school,no,no,no,telephone,may,tue,218,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
31,blue-collar,married,basic.9y,no,yes,yes,telephone,may,wed,248,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
50,management,married,university.degree,no,no,no,cellular,aug,fri,299,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
46,admin.,divorced,university.degree,no,yes,no,telephone,jun,wed,165,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
38,technician,married,basic.4y,no,no,yes,cellular,apr,fri,244,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
23,blue-collar,single,basic.9y,no,no,no,cellular,jul,thu,250,4,999,1,failure,-1.7,94.215,-40.3,0.846,4991.6,1
56,retired,married,professional.course,no,yes,no,cellular,aug,mon,202,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
43,management,married,university.degree,unknown,yes,no,telephone,apr,fri,141,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
26,blue-collar,single,high.school,no,no,yes,telephone,jul,mon,251,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
37,housemaid,single,professional.course,no,yes,no,cellular,jul,wed,60,8,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
27,technician,single,professional.course,no,no,no,cellular,apr,wed,72,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0
39,services,single,high.school,no,yes,no,telephone,jun,thu,1178,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
32,technician,single,university.degree,no,yes,no,cellular,aug,thu,271,2,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
43,blue-collar,married,basic.9y,no,yes,no,cellular,may,mon,247,6,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
33,admin.,single,university.degree,no,yes,no,cellular,aug,thu,289,1,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
39,blue-collar,married,professional.course,no,yes,no,cellular,may,wed,72,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
51,management,married,university.degree,no,yes,no,cellular,aug,tue,249,1,999,0,nonexistent,-2.9,92.201,-31.4,0.884,5076.2,1
47,housemaid,married,basic.9y,no,no,no,cellular,aug,thu,135,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
51,blue-collar,married,basic.9y,no,yes,no,telephone,jun,mon,159,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
36,management,married,unknown,unknown,yes,no,cellular,jul,thu,171,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
29,blue-collar,married,basic.6y,no,no,no,cellular,may,thu,481,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,1
61,unknown,single,basic.4y,no,yes,no,cellular,may,tue,154,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
36,admin.,divorced,high.school,no,no,no,cellular,apr,tue,197,1,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,0
30,blue-collar,married,high.school,no,yes,no,cellular,aug,fri,252,1,999,0,nonexistent,-2.9,92.201,-31.4,0.849,5076.2,1
